text,label
 Always thought H Ford was a level headed guy! Guess not! Note to Ford: climate change is summer-fall- winter-spring!! Happens every year! Get over it!,0
 Yeah we need some more made up bullshit protestors and antifa lol time for an epic beatdown😉,0
  Unfortunately you're right. Keep it real.  SHE is the assault weapon!,0
 She is Real Rocky 🔥🔥🔥 Oh My God !!,0
 Thank you to everyone for making this possible you are amazing and so are the beautiful bears. I'm a member of Olivers Army and I appreciate everything you do to make lives better.,0
 “Yeah we got everything sorted that needed to be sorted” she is still only taking small sips of her wine unusual for Emily but she guessed JJ wouldn’t profile her,0
 By the way why don’t you move to Haiti ? You liberals seem to make shit holes out of large cities. So go somewhere where it’s already a shit hole so you don’t have to do any work !,1
 Yes she is,0
   He tried this before and it went nowhere. He's 100% pro gun control. Done.,0
     He could have killed as many with a hunting rifle with the time and vantage he had. He had close to an hour before police entered his room. His actual shooting was over 10 min. Making this about gun control is just going to get more people killed. We need to be smarter.,0
"  Aha yes, I see that. The individual sense of needing to belong to a winning team"" because of the constant conditioning of self-devaluation. I see a strong sense of this on the Q side but on the left/hillary/antifa side as well regardless if they think they're winning or not.""",0
  Oh no I know why that I just don't know what she is talking about because I don't see a tweet she is repling too lol,0
 And here we have another demonstration that gun free zones don’t work. Brought to you by a liberal who more than likely supports stricter gun control.,0
Shouldn't pussy grabbing  be the one wearing the gloves while handling food? #MAGA URL,1
 You have no plan for the environment. Even conservatives should be able to understand that you have to be able to live on the planet to make money there.,0
  This is what happens when you tell white liberals that they don't get to congratulate themselves on how woke they are until they put their money where their mouth is. That simple fact of life breaks their brains.,0
"            Antifa doesn't beat facsists to try to get them to change their mind - they know it's a lost cause to try to change a fascist's mind. They do it to scare them into hiding, to demoralize them, and to stop the spread of their hateful ideology. There is no forcing views on others"".""",1
  SOROS is at the root of everything and anything anti American. He has his money in Hollywood all the way to Islam and ANTIFA to illegals . URL,0
#FireMorningJoe he is cut from the same cloth as all other conservatives. His misogyny and bigotry are always on display. He is responsible for Trump. URL,1
  Truly has got to be the most idiotic thing I've ever seen.,0
  Brigitte Gabriel has experienced a life that most would have nightmares from. She is sounding the alarm for Americans. Buy her book pay attention to what she is warning America about,0
         It does work. If you want to control a population.  Australian gun control had no effect on homicides.,1
  Poor baby.,0
    Antifa = Democrats = Dixiecrats = KKK URL URL,0
  Liberals ruin everything!,1
"   And don't forget his telling a primarily black liberal audience conservatives want to put them back in chains""""",0
 Sad for both!!! To be exploited and also to have a reputation destroyed! Now I’ve read she’s  part of Antifa! ????!,0
 That's what happens when you let a liberal get a hold of a gun.  That would be a good place to start gun control.  Ban liberals from getting guns.,1
  You look happy .MAGA,1
   Trump proposes racial profiling as a tactic 'to start thinking about' URL,0
 Introducing my sweet sweet baby king! He is always sooo nice! And when I try to sit on the sofa he NEVER attacks me! URL,0
   There all gone tho and Inputed them from bottom to top with the first 20seconds of your tweet ! You good 1 Tmart 👍🏻,0
"  Exactly. He is on record basically saying the President is above the law."" It should be noted that the #gop is fine with this. Rudy has his own issues. URL",0
#KamalaHarris The New Dem Emperor with No Clothes Taxpayers Funded ‘Unprecedented’ Armed Protection for Gun Control Sen. Kamala Harris URL via ,0
 Yet she is fat herself.,1
  There was plenty of evidence that he was guilty of what Hill accused him of but since conf hearings aren't about guilty/innocence got on the bench. Times are diff now. Why as a journalist you don't call out white supremacy/alt-right but Antifa and pick on ,0
  You don’t understand who he is and is capablities. Despite the proof in the economy.  My hypothesis is that you have been lied to by liberals your entire life and are believing what you are told. The liberal media made bill Clinton look good and could do the same with trump.,0
..oath must be subpoenaed to testify. There is a lifetime appointment at stake here. Please do it right this time &amp do not allow  Orrin Hatch who has already made up his mind she is lying be allowed to question her. His kind of questions could invite a lawsuit.,0
  Y’all are the best,0
   What a joke! She is a Gem alright!! She is a Racist phony! Right along with this Racist Phony. That thinks she will follow me from her second account. And block me. Because I speak the truth. I could care less about follower's. Like it's a big party. I care that they discriminate URL,1
 Indeed he is.,0
   Because i'm a little concerned about the Q followers because they slowly become more and more a sort of right wing sjw antifa thingie  (Also excuse me for my horrible English it's not my native languase and didn't had much schooling in it so i'm sorry if it sucks. 😅),0
 Yep Antifa are literally Hitler.,0
 Wow you are so hot 😍😍😍😍😗😗😗😗😗,0
 she is the most deserving woman to be happy !!,0
    I've noticed a lot of conservatives are thoroughly disingenuous when engaging in twitter.,0
   May be you have forgotten that at the moment we are EU citizens and so all rights afforded to us are the same as for other EU citizens. Don’t believe all the shit that goes on in your head.,1
  That's just modelling. Plenty of women make shit tons of money just for looking good,0
Just watching a Horizon show  about scientists that discovered a DNA mix between humans and Neanderthals.Would have thought Trump getting elected would have been proof enough. #MAGA,0
  I hope there is a way to watch it on TV.  Ted spanking liberals is always enjoyable.,0
  Just looked up his work History he is listed on the Board of Leading Age Services Aust (LASA) and comes from Medicare Local Alliance...what ever the hell that is,0
 He should look in a mirror!,0
 I’m sure he is. 💜,0
  Send him this  party #manifesto where they promised they will help families maybe that will remind him his duties. #HostileEnvironment #PriceOnLove #SkypeFamilies    URL,0
"    Families being separated at the border. In fact, the picture of children in cages that Liberals were using to show how evil"" Trump is was actually taken while OBAMA was President""",0
  But antifa is her people,0
  We had a Peoples Vote on 23 June 2016. The people rejected the craven  worship which you stand for - by a majority of over 1m. You’re contemptuously defying the will of the people &amp  2017 GE manifesto &amp supporting Soros in undermining democracy instead,0
 Cause who bitches be playing with 😭😭😭😭 god aint give me the gift for nothing,1
 she is free as a bird to return to her Muslim homeland,0
*mom speaks into her phone to compose a text for my brother* she is angry so she yells at the phone while telling it what to type like my brother will be able to tell she was even yelling 🤦🏻‍♀️,0
  Melting snow flakes,0
 Who’s the victim? That remains to be seen. Liberals have turned Kavanaughs hearings into a circus from the first minute it started.,0
 Coming from the man that threatened to try and kick Turmps ass now don't that take a set of ball's,1
  You're shocked to hear that liberals want to centralize power at the federal level?,0
  HE IS BEST OF THE BEST!😍😍,0
#WhatILearnedToday liberals can’t win without lying,0
 Fast and Furious Holder lol,0
 Getting scared ugly man?,1
 is one of the only shows that are a Progressive that I can stand to watch. He dislikes the right and left evenly and you know who he is right from the start. If you've never seen his show check it out on YouTube. Insightful ❤🇺🇸 #MAGA,0
 He is NOT Supreme Court worthy,0
 God I hope not! URL,0
   Yes he is,0
     Bitch.. URL,0
&amp terroism &amp starvation &amp Flint &amp poverty &amp climate change &amp global warming &amp sex trafficking &amp bullying &amp body shaming &amp police brutality &amp feminism &amp gun control &amp marches &amp protests,1
+++ I can't prove causation either but while the CONservatives in CDA surely love the idea of 𝙿𝚎𝚝𝚊𝚕𝚜 𝙼𝚌𝙿𝙾𝚄𝚃𝚂𝙵𝚊𝚌𝚎(¬ bashing PM  can't help but think they're also egging the former to continue the bashing to boost their fortune(s) vainly. URL,0
 2 Republican Men in a picture 85 and 84 what are men of that age are Law Makers too old no sorry young Republicans are like young Conservatives they are all born at 40 years of age,0
   Liberals can’t meme. They have no sense of humor or knowledge of meme-ing philosophy.,0
  any she is stunning,0
 yea your the bitch on the right getting smacked URL,0
" Why the focus on the Proud Boys? I know you're not a real journalist, Kelly, but why not focus on the ones doing all of the violence? #ANTIFA  If you want a story focus on why journalists"" (leftist activists) are constantly ignoring Antifa's attacks on people.""",0
 Hahaha BIG thighs is not going to make it,1
    It’s called educating liberals.,0
"#maga #christineford #trump2020 #tcot #ccot #AmericaFirst #Patriots   #BrettKavanaugh had this to say about Bill Clinton during Whitewater:   It's imperative to make his pattern of revolting behavior clear -- piece by painful piece.""   Indeed. URL",1
"#MAGA people are very low IQ. GDP Growth"" means LITERALLY NOTHING. In no way does this translate to higher income for white familes or individuals. All that billions goes to companies or government.   And what jobs did he create? Labour which pays less than living wage lmao? URL",1
  IF YOU WONNA GET PAID...Pick up the energy people!!!! Scream and shout like you’re at the  #Kavanaugh hearing! URL,0
 Bro go watch how he hold his backwood in the interview like that shit was irritating lmao nigga is mad suspicious,1
A bitch built like that could beat my ass all she wants URL,1
        Trash,0
  Very pathetic man !,1
   She is new psychology thinker who think about religion and so aggressive on her thought before deeply think on hinduism 😀😀😀😀,0
 Shouldve played saint marie instead of london docks. Saint was ass for me 👌,0
 Thank goodness he is not MN passive aggressive. Love it!!,0
  We can empty all our prisons also and just say they broke no laws.....Liberal logic.,0
  She is an angel! Much love to her!,0
  For what? Why are you asking for his arrest?  Liberals being butthurt for 19 months is not an impeachable offense.,0
  The tolerant Left,0
      You must be talking about hateful conservatives.,1
  Thats correct!!! #MAGA,1
    Show me a single case where antifa have actually murdered someone.  Because the far right murdered someone at Charlottesville 🤷  Hypocrisy works both ways.,0
 If bobby is fit thats exactly what i would say but not sure if he is or not,0
" The only white people that thank Jesus are Republicans &amp ex-crackheads"" - so say America-hating liberals about Christians. Many ex-Dems thank Jesus too- &amp many former Emmys watchers. We thank Jesus DAILY for our country, our  &amp the ability to TURN YOU OFF! ",0
 Does skip realize that by saying you should become a professional tweeter that he is kind of shitting on sports casters?  How many TD receptions skip have this year?,0
   This leftist is what is wrong in liberal colleges. More ppl and students will come out and will unmask this corrupt woman who is determined to destroy a good judge because she wants only liberals in the courts.     ,1
    She is just feeling his touch first time😍😍😍😍😍😍,0
"    This is great! Mark The Great One"" Levin and Candace ""The Great"" Owens together! This team is unbeatable! They just sent liberals into a frenzy again! A whole block of liberal voters just had their heads explode! And...sadly, Alyssa Milano just wet her pants again! Great team!""",1
 #StrataData #AI #data #hairball:  TDavis touring the application of #Cognitive and #machinelearning techniques to speed #Governance of #data URL,1
